"","subhood","propsale","propflipR","flipProp","flipPropPer"
"135","Truxton Circle",81,24,29.6296296296296,"29.63%"
"90","Mt. Vernon Square",14,4,28.5714285714286,"28.57%"
"23","Carver Langston",77,19,24.6753246753247,"24.68%"
"16","Brightwood Park",49,12,24.4897959183673,"24.49%"
"40","Eckington",115,28,24.3478260869565,"24.35%"
"134","Trinidad",153,35,22.8758169934641,"22.88%"
"14","Brentwood",31,7,22.5806451612903,"22.58%"
"41","Edgewood",49,11,22.4489795918367,"22.45%"
"149","Woodridge",151,33,21.8543046357616,"21.85%"
"15","Brightwood",168,35,20.8333333333333,"20.83%"
"113","Randle Highlands",25,5,20,"20%"
"77","Langdon",71,14,19.7183098591549,"19.72%"
"88","Michigan Park",27,5,18.5185185185185,"18.52%"
"107","Petworth",454,79,17.4008810572687,"17.4%"
"131","Stronghold",29,5,17.2413793103448,"17.24%"
"34","Deanwood",103,17,16.504854368932,"16.5%"
"82","Manor Park",91,15,16.4835164835165,"16.48%"
"31","Columbia Heights",165,27,16.3636363636364,"16.36%"
"39","Eastland Gardens",19,3,15.7894736842105,"15.79%"
"74","Kingman Park/Rosedale",175,27,15.4285714285714,"15.43%"
